Row Id,Row Id.,zipconvert_2,zipconvert_3,zipconvert_4,zipconvert_5,homeowner dummy,NUMCHLD,INCOME,gender dummy,WEALTH,HV,Icmed,Icavg,IC15,NUMPROM,RAMNTALL,MAXRAMNT,LASTGIFT,totalmonths,TIMELAG,AVGGIFT,TARGET_B,TARGET_D
18,178,1,0,0,0,1,1,4,0,9,2246,542,640,1,76,262,34,32,33,3,14.55555556,0,0
19,180,1,0,0,0,1,1,2,0,7,789,295,398,18,48,127,60,42,37,6,31.75,1,16.87
20,182,0,0,0,1,0,1,6,1,7,995,372,407,10,83,476,25,10,28,6,13.6,1,23
21,186,0,0,1,0,1,1,7,0,7,936,521,590,11,69,98,6,5,31,2,3.62962963,1,4
22,187,0,0,0,1,1,1,5,1,8,860,321,392,9,38,53,20,5,18,0,8.833333333,1,5
23,193,0,0,0,1,1,1,4,1,8,3510,622,633,4,22,25,15,15,34,3,12.5,0,0
24,194,0,0,1,0,0,1,5,1,8,735,446,455,7,58,79,9,9,30,6,6.076923077,0,0
25,196,0,0,0,1,1,1,7,0,6,1888,382,435,17,98,350,23,13,17,35,17.5,1,10
26,199,0,0,1,0,1,1,6,1,9,3958,761,862,0,53,119,20,20,31,3,11.9,1,20
27,202,0,1,0,0,1,1,4,1,8,411,236,273,21,15,15,15,15,35,5,15,1,15
28,220,0,1,0,0,1,1,4,0,2,610,281,328,16,50,161,25,10,36,5,10.0625,1,10
29,235,1,0,0,0,1,1,1,1,8,826,415,514,5,37,32,15,15,37,6,8,0,0
30,237,1,0,0,0,1,1,4,1,4,780,321,354,14,48,175,20,15,37,9,13.46153846,1,10
31,241,0,1,0,0,0,1,2,0,2,418,300,348,12,92,186,15,14,37,5,8.454545455,0,0
32,243,0,0,0,1,0,1,4,1,4,3321,434,536,10,66,85,20,20,37,10,9.444444444,1,10
33,257,0,0,0,1,1,1,3,0,8,1868,324,380,12,28,31,10,10,32,3,5.166666667,1,5
34,258,0,0,1,0,0,1,4,1,8,457,302,329,19,85,79,10,10,30,12,3.590909091,0,0
35,273,0,0,0,1,1,1,5,0,8,1604,438,431,12,26,35,10,10,31,6,8.75,0,0
36,282,0,0,0,1,1,1,4,1,8,842,464,556,3,50,107,10,10,31,4,5.944444444,0,0
37,288,1,0,0,0,1,1,6,1,8,2085,755,797,3,50,85,5,5,32,6,4.722222222,1,5
38,301,0,0,0,1,1,1,6,0,8,5505,1255,1142,0,24,39,16,13,34,6,13,0,0
39,308,0,0,0,1,1,1,4,1,8,819,415,428,5,26,28,10,10,29,4,5.6,0,0
40,314,1,0,0,0,1,1,4,0,8,0,0,0,0,27,40,10,10,31,6,10,0,0
41,316,0,1,0,0,1,1,3,1,8,296,280,315,17,64,52,5,2,20,7,2.260869565,1,2
42,328,0,1,0,0,1,1,1,0,8,299,247,315,25,22,47,20,13,30,4,11.75,0,0
43,331,1,0,0,0,0,1,5,0,8,675,374,402,7,24,26,16,16,37,9,13,1,16
44,346,0,0,0,1,1,1,1,1,0,998,273,354,19,72,90,10,5,31,12,6,1,5
45,347,0,1,0,0,1,1,4,0,8,568,184,216,40,21,32,12,12,31,3,10.66666667,0,0
46,350,0,0,1,0,0,1,4,0,5,620,388,405,16,52,107,15,11,35,6,9.727272727,0,0
47,356,0,1,0,0,1,1,4,0,0,314,165,207,48,76,204,25,25,37,4,12,1,25
48,357,0,0,0,1,0,1,5,0,8,4347,410,454,8,33,42,10,10,31,5,6,1,7
49,368,0,0,0,1,0,1,3,0,8,470,300,324,18,29,74,20,20,31,5,14.8,1,20
50,369,0,0,0,1,1,1,4,1,1,835,310,364,22,70,126,6,6,34,8,4.344827586,1,4
51,382,0,0,0,1,1,1,4,0,5,1772,418,492,3,99,288,21,15,17,5,13.71428571,1,19
52,383,0,0,0,1,0,1,1,1,8,1000,468,506,6,28,39,10,5,29,3,6.5,0,0
53,386,0,0,0,1,1,1,6,0,8,4138,787,835,1,37,82,13,13,29,6,11.71428571,1,12
54,387,0,0,0,1,1,1,4,1,3,1229,359,490,10,39,35,15,15,34,13,11.66666667,0,0
55,406,0,0,1,0,0,1,5,1,9,4135,805,880,9,65,82,15,15,37,12,8.2,0,0
56,409,0,0,0,1,1,1,4,1,5,971,347,375,12,50,84,10,7,30,6,6.461538462,0,0
57,416,0,0,1,0,1,1,2,0,3,596,279,353,21,68,94,7,5,29,2,4.7,1,5
58,423,0,0,0,1,1,1,4,1,7,1060,344,390,15,82,191,15,15,32,6,9.55,1,12
59,428,0,0,0,1,1,1,4,1,1,634,344,362,13,58,88,15,15,31,12,8,1,15
60,430,0,1,0,0,1,1,6,1,8,567,379,421,8,21,38,12,6,28,3,7.6,1,10
61,437,1,0,0,0,1,1,7,0,8,1046,521,576,1,30,66,12,12,28,4,11,1,15
62,438,0,0,0,1,0,1,2,1,4,761,485,511,2,51,93,12,11,32,1,9.3,1,12
63,451,0,0,0,1,1,1,2,1,8,1772,592,688,0,15,15,15,15,37,5,15,0,0
64,467,0,1,0,0,0,1,5,0,8,436,194,245,33,30,67,15,15,33,7,13.4,0,0
65,470,0,0,0,1,0,1,6,0,8,2483,627,668,2,49,98,50,50,30,4,16.33333333,0,0
66,475,0,0,0,1,1,1,6,0,9,1591,675,693,6,68,115,15,10,19,9,11.5,0,0
67,486,0,0,0,1,1,1,4,1,1,1366,250,276,32,55,91,10,5,28,4,6.5,0,0
68,488,0,0,0,1,1,1,6,1,8,5790,1124,1045,3,20,22,10,7,31,2,7.333333333,1,7
69,491,0,0,1,0,1,1,6,1,8,1165,563,607,2,69,187,25,25,28,6,14.38461539,1,23
70,494,1,0,0,0,0,1,3,0,8,660,308,329,10,53,48,14,7,33,0,6.857142857,0,0
71,498,1,0,0,0,1,1,2,1,8,982,549,533,10,66,165,14,14,31,7,10.3125,0,0
72,511,0,0,1,0,1,1,5,1,8,1732,603,653,0,13,20,20,20,36,5,20,1,20
73,514,0,0,1,0,1,1,4,0,8,1019,389,473,15,21,26,16,16,37,5,13,0,0
74,519,1,0,0,0,1,1,4,0,8,597,459,475,4,23,27,10,10,31,5,6.75,1,7
75,531,1,0,0,0,0,1,1,0,9,1516,597,668,4,61,128,40,40,29,14,21.33333333,0,0
76,536,0,1,0,0,1,1,2,0,4,702,324,357,11,52,70,10,10,33,3,6.363636364,1,10
77,539,0,1,0,0,1,1,1,0,4,578,376,399,13,86,121,5,3,30,9,3.457142857,0,0
78,546,0,1,0,0,1,1,2,1,7,992,524,563,6,63,100,20,3,21,6,7.692307692,1,3
79,553,0,0,0,1,1,1,4,0,6,643,363,423,12,56,68,7,4,28,4,4.533333333,1,5
80,559,0,0,1,0,1,1,4,1,2,359,221,237,27,61,128,20,15,36,17,14.22222222,1,20
81,571,0,0,0,1,1,1,6,0,8,3408,581,632,3,21,25,20,20,33,3,12.5,1,11
82,572,0,0,1,0,1,1,5,1,8,1080,521,529,8,21,20,15,15,32,5,10,1,10
83,578,1,0,0,0,1,1,4,1,8,834,371,408,10,35,92,37,37,37,5,23,0,0
84,585,0,0,1,0,1,1,4,0,5,437,354,356,16,83,194,10,6,28,4,4.217391304,1,5
85,589,0,0,0,1,0,1,5,1,8,2124,526,554,2,28,49,20,10,31,2,8.166666667,0,0
86,600,0,0,0,1,0,1,2,1,8,1505,359,445,12,47,77,11,8,28,11,7.7,0,0
87,601,0,0,0,1,1,1,4,1,8,1531,305,351,17,19,30,30,30,37,5,30,1,50
88,608,0,0,0,1,0,1,2,1,8,1631,331,400,14,24,31,10,10,28,6,7.75,0,0
89,614,0,0,0,1,1,1,5,1,8,1473,332,370,14,32,70,15,15,28,2,10,0,0
90,630,0,1,0,0,1,1,2,1,1,639,209,259,36,72,146,12,11,36,5,7.3,0,0
91,631,0,0,1,0,0,1,6,1,8,1305,530,597,5,16,28,25,25,30,15,14,0,0
92,638,1,0,0,0,1,1,3,0,8,457,253,285,25,68,98,5,3,32,9,4.9,1,4
93,641,0,0,1,0,1,1,4,1,3,806,347,354,15,76,119,15,10,31,10,10.81818182,1,10
94,659,0,1,0,0,0,1,4,0,3,349,302,324,19,55,66,7,5,30,9,4.714285714,0,0
95,675,1,0,0,0,1,1,4,1,3,525,277,278,24,52,157,10,7,28,6,7.136363636,1,7
96,679,0,1,0,0,1,1,4,1,8,306,181,204,38,21,45,35,35,29,7,22.5,0,0
97,685,0,1,0,0,0,1,2,0,5,698,335,348,14,59,276,15,13,33,10,11.5,1,15
98,693,0,0,0,1,1,1,4,1,8,910,245,370,28,72,182,15,10,33,4,9.1,0,0
99,695,1,0,0,0,0,1,5,1,1,550,296,304,20,101,154,20,20,23,3,14,0,0
100,700,0,0,0,1,1,1,6,1,8,2635,516,535,4,19,30,30,30,37,5,30,0,0
101,722,0,0,1,0,0,1,3,1,5,422,290,319,18,66,132,16,10,31,5,9.428571429,1,14
102,725,0,0,0,1,1,1,6,1,8,4218,711,762,0,54,43,5,3,29,6,3.307692308,0,0
103,728,0,0,1,0,0,1,4,1,8,567,279,327,20,24,48,16,16,35,2,12,0,0
104,736,1,0,0,0,1,1,7,0,8,1586,762,823,0,21,26,16,16,37,5,13,0,0
105,738,0,1,0,0,0,1,1,0,8,745,438,446,5,54,63,12,12,26,2,9,0,0
106,740,0,0,0,1,1,1,6,1,8,578,258,315,28,22,40,20,20,37,7,20,1,20
107,750,0,0,0,1,0,1,5,0,8,3361,719,760,2,17,25,25,25,37,5,25,0,0
108,759,0,1,0,0,0,1,5,0,8,625,368,489,6,34,30,10,7,32,14,6,0,0
109,780,1,0,0,0,1,1,4,0,8,1115,349,465,17,21,30,20,20,33,15,15,1,25
110,785,0,0,0,1,1,3,6,1,8,2968,590,631,2,74,161.25,15,15,19,11,5.201612903,0,0
111,796,1,0,0,0,1,1,2,1,7,645,377,362,12,82,120,10,10,17,6,4.285714286,1,8
112,803,0,0,0,1,1,1,3,0,8,869,304,410,10,26,35,10,10,32,6,8.75,1,5
113,806,0,1,0,0,1,1,4,0,8,512,289,271,25,34,114,15,13,32,3,11.4,0,0
114,808,0,0,0,1,0,1,5,0,8,2194,464,506,6,43,119,30,22,23,1,10.81818182,1,22
115,818,0,0,1,0,1,1,3,0,0,250,164,228,47,57,102,7,5,28,4,4.434782609,1,5
116,821,0,0,0,1,1,1,1,0,4,1723,366,427,3,67,370,20,13,36,2,12.33333333,0,0
117,836,0,1,0,0,1,1,5,1,5,573,315,367,15,70,145,15,10,37,2,9.0625,1,10
118,838,0,0,1,0,1,1,3,0,9,840,522,561,9,80,204,9,7,30,3,6.181818182,1,5
119,839,0,0,1,0,0,1,3,0,5,622,339,377,13,87,241,17,15,23,5,13.38888889,1,17
120,840,0,0,0,1,1,1,2,1,0,913,239,288,36,69,304,50,50,37,4,25.33333333,0,0
121,853,0,0,0,1,0,1,7,0,8,2827,616,620,0,40,61,19,19,30,11,12.2,1,22
122,875,0,1,0,0,1,1,4,1,8,711,465,495,4,48,46,10,10,31,10,5.111111111,1,6
123,893,0,0,0,1,1,1,4,1,8,2810,477,541,12,29,34,6,6,31,1,4.857142857,0,0
124,917,0,0,0,1,1,1,4,1,8,1969,531,563,11,16,20,20,20,36,5,20,1,20
125,924,0,0,0,1,0,1,1,1,0,2582,148,207,52,52,150,50,50,37,3,30,0,0
126,925,0,0,0,1,1,1,4,1,8,3850,583,667,3,33,50,16,16,31,10,12.5,1,14
127,929,0,1,0,0,1,1,6,1,5,953,383,388,20,49,64,10,10,33,4,6.4,0,0
128,930,0,1,0,0,0,2,2,1,8,623,379,388,6,43,37,9,5,29,3,3.7,0,0
129,946,0,0,1,0,1,1,4,0,8,921,493,527,0,77,214,15,11,29,7,8.230769231,0,0
130,950,0,0,0,1,0,1,5,0,8,1007,330,366,15,18,25,25,25,37,5,25,0,0
131,952,0,0,0,1,1,1,5,1,8,921,386,385,7,37,70,20,20,31,9,10,0,0
132,954,0,0,0,1,1,2,2,1,6,1541,488,497,13,69,140,13,6,30,5,7,0,0
133,960,0,0,0,1,1,1,4,1,9,1523,374,376,9,72,94,10,10,31,11,6.266666667,1,10
134,963,0,0,0,1,1,1,3,0,8,422,250,320,20,24,44,12,12,29,3,11,0,0
135,969,0,1,0,0,1,1,7,0,8,504,311,315,15,23,20,15,15,36,7,10,0,0
136,997,0,0,1,0,1,1,4,0,8,437,313,363,10,15,20,20,20,37,5,20,1,20
137,1035,0,1,0,0,0,1,1,1,4,383,296,336,16,32,36,16,16,36,14,12,0,0
138,1039,0,1,0,0,0,1,1,1,8,332,399,403,4,24,29,11,8,29,6,7.25,0,0
139,1040,1,0,0,0,1,1,4,0,8,561,268,292,24,25,44,10,10,32,2,8.8,0,0
140,1060,0,0,0,1,0,1,2,1,1,761,236,285,25,79,205,10,5,28,14,5,0,0
141,1069,0,0,1,0,1,1,7,1,8,3984,1500,1125,10,35,101,24,21,36,4,20.2,0,0
142,1070,0,0,1,0,1,1,4,0,8,869,541,602,0,69,114,7,6,35,9,5.181818182,1,6
143,1079,0,1,0,0,0,1,3,0,2,674,259,327,19,36,50,12,12,30,7,8.333333333,1,12
144,1102,0,0,0,1,1,1,3,0,6,2441,474,512,12,33,48,12,11,35,15,9.6,0,0
145,1104,0,0,0,1,1,1,4,1,8,2505,502,580,3,29,50,20,15,20,3,12.5,1,15
146,1105,1,0,0,0,0,1,1,1,3,497,267,325,18,66,119,10,6,29,4,5.666666667,1,7
147,1113,0,0,0,1,1,1,5,1,7,535,363,386,0,53,115,35,35,33,13,23,0,0
148,1115,1,0,0,0,1,1,6,0,8,1311,363,410,19,15,20,20,20,37,5,20,1,20
149,1117,0,0,1,0,1,1,4,1,9,2130,724,791,7,73,189,25,20,36,2,15.75,0,0
150,1129,0,0,0,1,0,1,1,1,8,1596,171,218,40,47,91,6,5,17,1,5.055555556,1,5
151,1133,1,0,0,0,1,1,5,1,8,1011,441,483,6,29,36,7,7,33,4,6,0,0
152,1136,0,1,0,0,1,1,4,0,5,627,433,407,4,56,115,12,4,34,10,6.764705882,0,0
153,1158,0,0,1,0,1,1,4,1,8,702,457,510,2,105,183,15,5,17,1,7.625,0,0
154,1161,0,1,0,0,0,1,1,0,8,409,294,337,18,55,67,6,6,30,6,3.722222222,1,5
155,1165,0,0,0,1,1,1,4,0,7,1749,624,685,6,59,128,7,5,28,3,5.12,1,5
156,1179,0,1,0,0,1,1,4,0,4,679,432,448,3,77,140.5,10,10,37,8,5.403846154,1,7
157,1181,0,0,0,1,1,1,4,1,8,824,290,375,11,49,41,5,5,30,3,3.727272727,1,1
158,1183,0,0,0,1,1,1,7,0,8,1324,568,599,4,36,68,10,5,31,13,5.666666667,1,25
159,1186,0,1,0,0,1,1,4,1,5,466,356,375,8,75,159,25,5,28,13,4.076923077,0,0
160,1191,1,0,0,0,1,1,6,0,9,3538,759,817,4,135,555,15,10,18,6,6.098901099,1,10
161,1192,0,0,0,1,0,1,3,0,8,1692,388,440,8,57,104,12,12,30,5,8.666666667,1,11
162,1209,1,0,0,0,1,1,4,0,8,2088,560,635,6,17,42,22,22,29,7,21,0,0
163,1213,1,0,0,0,0,2,4,0,3,931,435,477,5,43,109,10,9,31,8,6.411764706,0,0
164,1236,1,0,0,0,1,1,6,0,5,1430,336,457,19,58,74,10,6,34,8,6.166666667,1,6
165,1241,0,0,0,1,0,1,2,1,8,2809,657,718,1,21,36,10,8,28,1,7.2,0,0
166,1256,0,1,0,0,0,1,2,0,8,610,360,393,14,64,83,15,10,32,22,9.222222222,0,0
167,1259,0,0,0,1,1,1,4,1,8,5177,845,892,6,24,26,16,16,36,5,13,0,0
168,1260,0,0,0,1,1,1,4,0,8,2962,613,709,0,64,111,15,15,28,13,10.09090909,1,10
169,1261,1,0,0,0,1,1,4,1,8,409,244,285,25,43,90,25,25,26,4,22.5,0,0
170,1263,1,0,0,0,0,1,4,1,8,1172,480,534,7,31,73,15,15,30,6,10.42857143,0,0
171,1272,1,0,0,0,1,1,4,1,3,489,290,314,20,68,123,15,5,28,7,6.473684211,0,0
172,1274,0,1,0,0,1,1,4,1,4,718,308,332,21,68,159,5,5,30,5,3.613636364,1,4
173,1285,0,0,0,1,1,1,4,0,1,1348,361,454,14,98,214.5,15,10,19,3,6.919354839,1,10
174,1299,0,0,0,1,1,1,4,1,0,414,190,197,40,76,383,15,13,29,7,10.07894737,0,0
175,1312,1,0,0,0,0,1,2,0,5,379,238,250,25,77,137,10,5,29,3,4.151515152,0,0
176,1320,0,1,0,0,0,1,3,0,7,1122,441,545,12,83,275,17,15,37,6,10.57692308,1,15
177,1339,0,0,0,1,1,1,4,1,8,1030,291,307,25,17,20,20,20,36,5,20,1,20
178,1342,0,1,0,0,1,1,4,0,8,721,423,486,6,33,70,6,6,29,3,5,0,0
179,1348,0,0,1,0,1,1,5,0,6,791,360,393,22,63,184,15,10,30,9,11.5,0,0
180,1370,0,1,0,0,1,1,4,0,3,379,220,255,24,44,126,10,10,37,6,8.4,0,0
181,1372,0,0,0,1,1,1,4,1,4,2835,545,570,5,64,89,12,12,34,1,6.846153846,1,16
182,1375,0,0,0,1,1,1,4,0,9,3014,530,640,2,69,71,5,4,30,18,3.380952381,0,0
183,1378,0,1,0,0,1,1,5,1,9,1174,582,619,3,64,81,7,7,28,5,3.857142857,1,5
184,1382,0,1,0,0,0,1,7,1,5,708,460,567,3,60,132,12,10,34,3,7.764705882,0,0
185,1394,1,0,0,0,1,1,3,0,4,543,282,335,14,77,213,7,5,32,2,5.071428571,1,5
186,1397,0,0,1,0,1,1,6,0,8,600,277,307,27,21,34,12,12,30,5,11.33333333,1,11
187,1399,0,0,0,1,1,1,4,0,6,2080,525,533,4,58,122,12,8,28,8,7.176470588,0,0
188,1408,0,0,0,1,1,1,7,1,8,2015,783,787,7,21,26,16,16,37,5,13,0,0
189,1413,1,0,0,0,1,1,5,0,8,877,454,482,5,16,20,20,20,37,5,20,1,30
190,1414,0,1,0,0,1,1,4,0,1,321,232,267,27,42,64,15,15,37,8,9.142857143,0,0
191,1445,0,0,1,0,1,1,4,1,3,878,415,430,10,58,85,7,5,31,2,4.473684211,1,4
192,1446,0,1,0,0,1,1,1,0,8,654,363,393,9,71,124.5,15,15,30,4,6.552631579,0,0
193,1449,0,1,0,0,1,1,5,0,8,823,462,536,0,23,30,20,20,37,5,15,0,0
194,1450,1,0,0,0,0,2,3,1,8,841,464,498,4,29,64,10,7,29,1,8,1,8
195,1461,0,1,0,0,1,1,4,1,2,345,257,271,30,45,80,10,5,29,11,8.888888889,0,0
196,1462,0,0,0,1,1,2,7,1,8,1198,556,590,6,60,101,10,10,34,6,6.3125,0,0
197,1466,0,0,0,1,0,1,6,1,8,594,400,411,10,108,321,20,20,28,3,13.95652174,0,0
198,1469,0,1,0,0,1,1,4,1,5,598,363,420,10,46,122,25,15,30,1,15.25,0,0
199,1471,0,1,0,0,0,1,1,1,8,1147,439,529,15,95,128,10,10,30,6,6.736842105,0,0
200,1483,0,0,0,1,0,1,3,1,8,2492,358,377,6,62,104,25,10,17,10,11.55555556,1,19
201,1498,0,0,1,0,1,1,2,1,9,976,578,563,6,70,189,25,22,37,5,17.18181818,1,23
202,1501,0,0,0,1,1,1,7,0,8,938,492,536,10,20,25,20,20,31,6,12.5,1,11
203,1502,0,0,0,1,0,1,1,1,0,643,298,376,20,76,112,20,10,36,3,11.2,0,0
204,1508,0,0,0,1,1,1,4,0,1,865,262,328,21,53,120,20,16,37,4,9.230769231,0,0
205,1509,1,0,0,0,1,2,7,0,8,1613,516,572,9,26,97,40,32,32,5,32.33333333,1,41
206,1517,1,0,0,0,1,1,4,1,8,903,457,503,4,63,122,13,13,31,3,8.133333333,1,14
207,1520,0,0,0,1,0,1,3,0,8,661,291,334,19,15,20,20,20,37,5,20,0,0
208,1539,0,0,1,0,1,1,4,1,8,782,323,357,27,16,32,12,12,29,0,10.66666667,0,0
209,1549,0,0,0,1,1,1,4,1,7,1113,483,505,5,59,180,12,10,36,10,8.571428571,0,0
210,1563,0,1,0,0,1,1,1,0,4,805,318,344,29,74,213,15,10,33,6,11.21052632,0,0
211,1568,0,0,0,1,1,1,4,1,8,2721,208,282,33,24,101,32,32,31,2,25.25,0,0
212,1571,0,0,0,1,0,1,1,1,8,729,390,424,6,48,142,20,18,28,2,15.77777778,1,17
213,1580,1,0,0,0,0,1,1,0,6,1522,388,453,12,56,71,12,12,29,27,7.888888889,0,0
214,1581,0,0,0,1,1,1,5,0,8,3695,452,491,13,51,82,8,7,28,37,5.466666667,1,5
215,1591,0,0,0,1,1,3,6,0,6,2932,612,656,1,38,73,17,15,35,4,14.6,0,0
216,1598,0,0,0,1,1,1,4,0,8,1086,382,440,12,22,35,15,10,37,4,11.66666667,0,0
217,1612,0,1,0,0,1,1,5,1,8,687,365,463,5,32,44,6,6,31,5,4.4,1,5
218,1623,0,0,0,1,0,1,5,0,3,453,267,277,24,57,129,12,10,28,6,8.0625,0,0
219,1631,0,1,0,0,0,1,1,1,8,812,425,464,7,57,174,25,25,36,2,17.4,0,0
220,1641,0,0,0,1,0,1,2,0,8,1557,317,393,8,32,44,7,7,28,6,5.5,1,5
221,1651,1,0,0,0,1,1,5,0,8,982,399,446,9,29,50,15,10,32,4,10,0,0
222,1663,0,0,0,1,1,1,3,0,4,1157,405,422,10,35,52,13,12,31,5,8.666666667,0,0
223,1669,0,0,0,1,1,1,6,0,8,1464,308,380,14,28,51,10,10,28,2,7.285714286,1,10
224,1684,1,0,0,0,1,1,2,1,2,417,251,240,29,43,85,10,5,31,6,6.538461539,1,8
225,1697,0,0,0,1,1,1,6,0,5,1760,388,485,3,68,142,20,20,37,7,11.83333333,1,15
226,1698,0,0,0,1,1,1,4,0,8,3002,552,627,3,68,118,10,5,28,4,6.210526316,0,0
227,1699,0,0,1,0,1,1,7,1,5,486,321,353,18,83,227,10,5,28,3,5.279069767,1,7
228,1703,0,1,0,0,0,1,1,0,2,335,266,286,23,30,63,10,10,28,5,7,0,0
229,1708,0,0,1,0,1,1,7,0,8,1869,804,833,1,30,47,8,8,30,1,5.875,0,0
230,1711,0,0,0,1,0,1,1,1,8,652,266,377,16,24,20,15,15,37,11,10,0,0
231,1717,1,0,0,0,1,1,6,1,8,843,314,328,3,21,28,11,7,29,1,7,1,7
232,1719,1,0,0,0,1,1,5,0,1,409,206,256,28,93,189,15,10,28,4,10.5,0,0
233,1721,0,1,0,0,1,1,1,0,4,633,322,343,12,79,184,17,16,31,6,9.684210526,0,0
234,1732,0,0,0,1,1,2,5,1,6,2016,566,632,0,64,180,20,15,35,2,9,0,0
235,1733,0,1,0,0,1,1,4,1,9,933,555,597,2,42,70,15,10,33,10,14,0,0
236,1734,1,0,0,0,0,1,2,1,8,778,374,419,13,23,36,10,10,31,1,7.2,0,0
237,1740,1,0,0,0,1,1,5,0,3,772,269,309,14,108,315,35,20,29,17,26.25,1,25
238,1749,0,0,0,1,0,1,1,1,8,765,361,393,15,26,36,16,16,29,8,12,1,13
239,1755,0,0,1,0,0,1,6,0,5,587,308,347,16,64,110,20,0,17,17,15.71428571,0,0
240,1763,1,0,0,0,1,1,1,1,4,1368,318,499,0,51,79,20,20,30,17,13.16666667,1,20
241,1767,0,1,0,0,0,1,2,1,8,561,368,383,10,43,150,100,100,37,6,75,0,0
242,1770,0,0,1,0,1,1,7,1,8,1275,738,799,2,21,25,20,20,36,5,12.5,0,0
243,1785,0,0,0,1,1,1,4,0,8,771,344,339,16,25,96,13,6,28,1,9.6,0,0
244,1787,1,0,0,0,1,1,4,1,6,871,371,422,7,63,166,14,10,30,8,9.222222222,0,0
245,1795,0,1,0,0,1,1,5,0,8,665,501,534,7,31,60,20,20,28,9,15,1,20
246,1802,0,0,0,1,1,2,5,1,9,1014,609,671,4,51,282,25,25,30,6,21.69230769,1,25
247,1824,0,0,0,1,1,1,7,0,8,2203,561,569,2,24,35,20,20,33,1,11.66666667,0,0
248,1826,1,0,0,0,1,1,1,1,4,581,267,269,17,57,172,17,16,28,14,14.33333333,0,0
249,1832,0,1,0,0,1,1,3,1,7,637,317,338,11,83,214,14,5,17,23,8.916666667,1,5
250,1837,0,0,0,1,1,1,4,0,7,1634,522,526,5,102,378,25,13,30,6,12.6,1,15
251,1845,0,0,0,1,1,1,4,1,4,1623,550,564,0,55,172,13,7,31,4,8.190476191,0,0
252,1848,0,0,0,1,1,1,4,0,8,1214,475,543,11,29,35,15,15,30,10,11.66666667,0,0
253,1849,0,1,0,0,0,1,5,1,8,1078,323,398,14,69,69,7,7,31,19,3.833333333,0,0
254,1857,0,0,0,1,1,1,5,0,1,503,229,299,42,62,88,7,6,32,5,5.5,1,6
255,1859,0,0,1,0,1,1,4,0,8,1143,446,549,5,17,25,25,25,37,5,25,0,0
256,1865,0,0,0,1,1,1,4,0,8,1479,436,463,11,23,27,15,7,34,7,9,0,0
257,1868,0,1,0,0,1,1,5,0,9,1445,686,703,3,95,333,25,20,25,2,15.13636364,0,0
258,1871,0,0,1,0,1,1,5,1,8,709,512,526,4,68,170,20,11,37,6,9.444444444,0,0
259,1890,0,0,0,1,1,1,2,1,1,1351,426,429,12,71,151,25,5,19,8,6.04,1,5
260,1891,0,0,1,0,0,1,5,1,8,1286,445,527,17,25,25,15,15,36,10,12.5,0,0
261,1913,0,0,0,1,1,1,4,1,8,2847,494,551,2,21,30,20,20,34,3,15,0,0
262,1916,0,1,0,0,0,1,3,1,4,720,321,357,10,46,70,20,15,36,1,14,0,0
263,1920,0,0,0,1,1,1,3,0,8,3111,347,380,14,34,55,20,20,33,5,13.75,0,0
264,1922,0,0,0,1,1,1,4,1,6,769,426,406,9,51,138,16,14,37,9,9.2,1,14
265,1930,1,0,0,0,1,1,5,1,7,888,363,383,18,78,183,10,10,28,9,7.038461539,1,12
